"","ID","Bacino","name","Volume_Teorico","Anno","Mese","volume","PP","TM","Area_mq","PP_Perc"
"114",14,"Coghinas","MUZZONE ( COGHINAS )",221.64,2014,"Feb",171.79,16244.5762158476,281.647152866167,1900508800.0001,8.54748802838836e-06
"115",17,"Coghinas","BIDIGHINZU",10.9,2015,"Feb",9.15,1466.2432166687,278.906370072138,51058399.9999997,2.87169832323126e-05
"116",15,"Coghinas","CASTELDORIA",2.9,2015,"Feb",1.87,65836.3628594961,279.030572723924,2392169600.00004,2.752161170324e-05
"117",18,"Coghinas","CUGA",20.4,2015,"Feb",15.81,1733.30056129959,279.856183258168,59335200.0000003,2.92120117788358e-05
"118",19,"Coghinas","M. LEONE ROCCADORIA ( TEMO )",77.58,2015,"Feb",63.15,4271.61223304073,279.621458701598,135704400.000001,3.14773303816288e-05
"119",13,"Coghinas","MONTE LERNO ( PATTADA )",34.45,2015,"Feb",18.85,5698.35962147767,276.984176762348,158796399.999993,3.58846902163899e-05
"120",14,"Coghinas","MUZZONE ( COGHINAS )",221.64,2015,"Feb",151.1,53463.7140810108,278.786556472338,1900508800.0001,2.81312636284599e-05
"121",17,"Coghinas","BIDIGHINZU",10.9,2016,"Feb",5.04,1132.99476705568,282.338445851995,51058399.9999997,2.21901737433152e-05
"122",15,"Coghinas","CASTELDORIA",2.9,2016,"Feb",1.79,51987.5318075347,282.548920918627,2392169600.00004,2.17323770887874e-05
"123",18,"Coghinas","CUGA",20.4,2016,"Feb",14.2,1202.80285716243,283.117512599227,59335200.0000003,2.02713205173729e-05
"124",19,"Coghinas","M. LEONE ROCCADORIA ( TEMO )",77.58,2016,"Feb",40.32,2767.45567801255,282.986776230506,135704400.000001,2.03932641683876e-05
"125",13,"Coghinas","MONTE LERNO ( PATTADA )",34.45,2016,"Feb",13.33,4194.59501281381,280.484977960005,158796399.999993,2.64149251041838e-05
"126",14,"Coghinas","MUZZONE ( COGHINAS )",221.64,2016,"Feb",135.92,42533.6135843273,282.349962076322,1900508800.0001,2.2380119252447e-05
"127",17,"Coghinas","BIDIGHINZU",10.9,2017,"Feb",2.87,366.492147329265,282.518269071125,51058399.9999997,7.17790113535221e-06
"128",15,"Coghinas","CASTELDORIA",2.9,2017,"Feb",1.6,20332.8119750129,282.599974320646,2392169600.00004,8.49973679751325e-06
"129",18,"Coghinas","CUGA",20.4,2017,"Feb",9.66,476.527470309682,283.350174994696,59335200.0000003,8.03110919504239e-06
"130",19,"Coghinas","M. LEONE ROCCADORIA ( TEMO )",77.58,2017,"Feb",26.84,856.966779218943,283.218646180499,135704400.000001,6.31495205180479e-06
"131",13,"Coghinas","MONTE LERNO ( PATTADA )",34.45,2017,"Feb",34.28,1807.53233936943,280.636110874138,158796399.999993,1.13827035081999e-05
"132",14,"Coghinas","MUZZONE ( COGHINAS )",221.64,2017,"Feb",213.51,15697.344782687,282.408895946559,1900508800.0001,8.25954859176983e-06
"133",17,"Coghinas","BIDIGHINZU",10.9,2018,"Feb",3.13,388.804199815757,278.97577381134,51058399.9999997,7.61489196323738e-06
"134",15,"Coghinas","CASTELDORIA",2.9,2018,"Feb",2.07,23297.8393310691,278.992941309137,2392169600.00004,9.73920884667571e-06
"135",18,"Coghinas","CUGA",20.4,2018,"Feb",4.14,657.495507032435,279.895157478668,59335200.0000003,1.10810363331114e-05
